"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"z-987709";"Z_2";"10";"sum";"FALSE";"5";"2";"1";"4";"0.2443";"0.4598";"0.4329";"0.2977";"0.3129";"0.2507";"0.2152";"0.2524";"0.219";"0.457";"0.5368";"0.467";"0.4497";"0.4129";"0.3568";"0.2194";"0.2587";"0.2238";"0.2159";"0.1892";"0.2096";"0.4743";"0.4346";"0.5049";"0.4289";"0.2203";"0.1982";"0.2315";"0.1975";"0.4511";"0.1992"
"t-866275";"Z_4";"20";"sum";"FALSE";"100";"1";"0.2";"1";"5e-04";"0.0017";"0.2432";"1e-04";"0.3481";"0.0023";"0.1892";"1e-04";"0.9809";"0.1633";"4e-04";"0.4586";"0.2608";"0.7323";"0.7754";"0.1573";"0.0012";"0.809";"0.1544";"0.2148";"1.4043";"0.1487";"0.2266";"0.7429";"0.2993";"0.1432";"0.7754";"1.4417";"1.4514";"1.4486";"0.4732"
"q-665421";"Z_3";"50";"sum";"FALSE";"20";"0.1";"0.5";"3";"0.142";"0.1227";"0.0196";"0.0876";"0.345";"0.9408";"0.023";"0.1568";"0.4875";"0.0184";"0.1291";"0.4686";"0.0285";"0.1885";"0.7125";"0.8841";"1.2999";"0.8981";"0.0396";"0.2048";"1.0466";"0.0272";"0.2453";"0.8565";"0.2796";"1.2448";"0.4413";"1.6312";"0.5358";"0.7718";"1.376"
"a-686984";"Z_6";"50";"product";"TRUE";"2";"0";"2";"3";"0.1362";"0.0776";"0.0012";"0.0055";"0.1175";"0.4751";"0.002";"0.0035";"0.0184";"8e-04";"0.0025";"0.0836";"0.0026";"0.0243";"0.6173";"8e-04";"0.0039";"0.0068";"0.0023";"0.018";"0.4353";"0.0031";"0.0232";"0.6693";"0.17";"0.0033";"0.0199";"0.7353";"0.1556";"0.1713";"0.1195"
"s-444589";"Z_4";"10";"sum";"FALSE";"20";"10";"1";"4";"1.2987";"1.4561";"0.581";"1.2746";"0.6322";"1.5771";"1.2983";"1.2828";"1.2212";"1.4747";"1.2686";"1.4267";"1.284";"0.9079";"1.2705";"1.5874";"1.3413";"1.5413";"1.2822";"1.2257";"1.2458";"1.3095";"1.6424";"1.3632";"1.2673";"1.5743";"1.6498";"1.4234";"1.2445";"1.5262";"1.5296"
"s-611806";"Z_5";"3";"product";"TRUE";"5";"2";"0";"4";"1.9952";"1.9498";"1.9943";"1.8802";"1.9779";"1.9816";"1.9973";"1.8602";"1.995";"1.953";"1.9195";"1.9594";"1.8817";"1.9892";"1.8115";"1.9845";"1.9175";"1.9904";"1.8632";"1.9947";"1.7772";"1.9281";"1.9902";"1.9113";"1.8207";"1.9253";"1.9958";"1.8798";"1.7895";"1.9283";"1.9004"
"r-659568";"Z_5";"50";"product";"FALSE";"50";"2";"0";"2";"0.3196";"0.4701";"0.3578";"0.3383";"1.0308";"0.4701";"0.3521";"0.2117";"0.798";"0.4701";"0.7077";"1.0874";"0.3196";"1.1691";"0.7799";"0.4701";"0.3383";"1.1447";"0.2117";"1.1647";"0.4956";"0.7077";"1.6779";"1.3132";"0.8855";"0.3196";"1.6337";"1.4532";"0.7675";"1.4062";"1.0185"
"n-183279";"Z_3";"50";"product";"TRUE";"5";"0";"5";"3";"0.0015";"1e-04";"0";"0";"9e-04";"0.5477";"7e-04";"0.0011";"0.0048";"1e-04";"0.0043";"0.0037";"0";"0.0043";"7e-04";"0.5033";"0.6802";"1.2735";"4e-04";"0.006";"0.0036";"0.0048";"0.1158";"0.0108";"0.0043";"0.5718";"1.3318";"1.2863";"9e-04";"0.1134";"1.0769"
"b-678055";"Z_2";"5";"product";"TRUE";"10";"2";"2";"3";"0.1002";"1e-04";"0.0012";"0.0012";"0.019";"0.0992";"0.0976";"0.0451";"0.2744";"1e-04";"1e-04";"0.004";"8e-04";"0.0159";"0.022";"0.5826";"0.1025";"0.1032";"0.0487";"0.2106";"0.2495";"1e-04";"0.0032";"0.0037";"0.0339";"0.6883";"0.3344";"0.223";"0.2421";"0.0043";"0.4743"
"y-613650";"Z_1";"5";"product";"TRUE";"10";"0";"1";"2";"0.8044";"0.5022";"0.4628";"0.5003";"0.9255";"0.4047";"0.6042";"1.011";"1.799";"0.1206";"0.6322";"0.8044";"0.4876";"0.829";"0.8131";"0.0446";"0.4905";"0.5513";"0.8939";"0.6759";"1.4841";"0.152";"0.256";"0.8572";"0.5955";"0.0492";"0.1137";"0.5907";"0.6181";"0.2301";"0.0816"
"c-148626";"Z_4";"100";"product";"FALSE";"100";"2";"10";"4";"0.2482";"0.2938";"0.245";"0.2486";"0.3083";"0.2296";"0.1996";"0.2534";"0.2447";"0.2374";"0.1458";"0.2912";"0.2257";"0.2483";"0.2527";"0.1835";"0.0796";"0.2304";"0.2277";"0.201";"0.2233";"0.0579";"0.2412";"0.1224";"0.2284";"0.0372";"0.2405";"0.0588";"0.2266";"0.046";"0.0298"
"f-972519";"Z_4";"5";"sum";"TRUE";"50";"0.2";"0.5";"1";"0.6539";"0.1973";"0.5007";"0.5263";"0.8268";"0.5501";"0.4713";"1.1423";"0.8048";"0.4991";"0.7415";"0.8838";"0.8743";"0.4513";"0.7726";"0.4686";"0.9795";"0.8712";"0.8412";"0.5065";"0.1185";"0.9083";"0.5229";"0.6172";"0.5226";"0.8091";"0.5614";"0.1645";"0.0738";"0.2227";"0.1094"
"m-902966";"Z_6";"50";"product";"TRUE";"2";"0.1";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1.0263";"0.0737";"0";"0";"0";"0";"0.69";"0.0602";"0";"0.847";"0.0602";"0.8735";"0";"0.717";"0.065";"0.3922";"0.907";"0.8421"
"r-536690";"Z_5";"10";"sum";"FALSE";"50";"10";"0.1";"3";"0.5876";"0.5595";"0.6445";"0.6554";"0.5595";"0.4523";"0.6294";"0.6183";"0.4993";"0.5827";"0.6367";"0.4331";"0.6948";"0.177";"0.1313";"0.4085";"0.4825";"0.1809";"0.6727";"0.1644";"0.1084";"0.6611";"0.1934";"0.1008";"0.1282";"0.472";"0.1556";"0.0658";"0.1166";"0.1252";"0.0787"
"o-177137";"Z_6";"50";"product";"TRUE";"2";"5";"2";"4";"0.7565";"1.1323";"1.4312";"1.4285";"1.3179";"0.7302";"1.0963";"1.0444";"1.0243";"1.1167";"1.4717";"1.3454";"1.8829";"1.8651";"1.7028";"0.9801";"1.1689";"0.9164";"1.6637";"1.5481";"1.5022";"1.8762";"1.9484";"1.681";"1.9275";"1.6911";"1.8678";"1.3983";"1.8908";"1.8999";"1.8659"
"j-874455";"Z_6";"2";"product";"TRUE";"10";"0";"0.2";"2";"0.4139";"0.9548";"0.2887";"1.1283";"1.4434";"0.4396";"0.1926";"1.1016";"0.3542";"0.3275";"0.5116";"1.2116";"0.8243";"0.5041";"1.1491";"0.1988";"1.1016";"0.6476";"0.7956";"0.2594";"0.9117";"0.8268";"0.4942";"0.561";"1.2244";"0.7374";"0.2838";"1.0881";"1.2252";"1.1282";"1.1995"
"d-512362";"Z_4";"10";"product";"TRUE";"100";"2";"2";"2";"1.4734";"1.4965";"0.8169";"0.8022";"1.8356";"1.4734";"0.8624";"1.5198";"1.8313";"0.8779";"1.4965";"1.8043";"0.7593";"1.3602";"1.6785";"0.8624";"1.2979";"1.7965";"0.8169";"1.377";"1.6964";"0.8022";"1.3397";"1.6788";"1.2537";"0.8022";"1.3445";"1.6751";"1.2855";"1.3766";"1.2978"
"c-323238";"Z_2";"20";"sum";"FALSE";"3";"0.5";"2";"2";"0.7272";"0.0877";"0.605";"0.0896";"0.0934";"0.49";"0.7465";"0.7269";"0.5415";"0.4237";"0.0881";"0.0881";"0.1824";"0.2794";"0.0917";"0.5097";"0.4909";"0.4037";"0.7484";"0.5602";"0.5448";"0.1444";"0.2329";"0.0933";"0.0943";"0.514";"0.4214";"0.4044";"0.5653";"0.0983";"0.4249"
"z-142677";"Z_2";"5";"product";"TRUE";"5";"10";"0.5";"2";"0.5387";"0.5869";"0.1927";"0.1927";"0.4506";"0.493";"0.5352";"0.4506";"0.5127";"0.5557";"0.5059";"0.6101";"0.1927";"0.4777";"0.3761";"0.5101";"0.5168";"0.4756";"0.4247";"0.5148";"0.5431";"0.4777";"0.5892";"0.5059";"0.4506";"0.525";"0.523";"0.5136";"0.5615";"0.4777";"0.5534"
"c-907855";"Z_4";"2";"product";"TRUE";"5";"5";"10";"1";"0";"1e-04";"0.1323";"0";"0";"0";"0.1505";"0";"0.0015";"0.1414";"0";"3e-04";"0.1125";"0.1741";"1e-04";"0.174";"0";"0";"0.2391";"0.4925";"0";"0.1729";"0.4927";"0";"0.2149";"0.2058";"0.4524";"0";"0.3635";"0.2904";"0.288"
"m-953627";"Z_6";"100";"sum";"TRUE";"50";"10";"0.5";"1";"0.0299";"0.0662";"0";"0.0015";"0.0269";"0.0483";"0";"3e-04";"0.2133";"0";"0";"0.2468";"1e-04";"0";"0.2813";"0";"0";"0.4195";"1e-04";"0.8012";"1.3705";"0";"0.477";"1.7768";"1.9249";"0";"0.9739";"1.8008";"1.9609";"1.94";"1.95"
"q-433632";"Z_3";"20";"product";"FALSE";"100";"1";"2";"4";"0.9871";"0.6997";"0.8304";"1.0806";"0.4455";"0.8744";"1.0319";"0.9569";"0.6649";"0.9203";"0.6997";"0.2806";"1.1003";"0.5248";"0.5686";"0.9395";"0.8535";"0.4972";"1.0971";"0.6997";"0.8128";"0.9849";"0.5537";"0.345";"0.7176";"0.9174";"0.6821";"0.5248";"0.8329";"0.5109";"0.648"
"g-795152";"Z_3";"2";"product";"FALSE";"2";"0";"2";"4";"0.7347";"0.8286";"1.4587";"1.1759";"1.0973";"0.4281";"1.1676";"0.6761";"0.6257";"1.1422";"0.8153";"0.7716";"1.4226";"1.4377";"1.0453";"0.7941";"0.3988";"0.3958";"0.8462";"1.0506";"0.5346";"1.1284";"1.0982";"0.7416";"1.2541";"0.6774";"0.748";"0.3637";"0.7268";"1.0361";"0.6187"
"h-744903";"Z_1";"20";"product";"TRUE";"2";"2";"0.1";"3";"1.6393";"0.7229";"0.7244";"0.6431";"0.7134";"0.5441";"0.9221";"1.5263";"1.6616";"0.7248";"0.7115";"0.6957";"0.699";"0.7051";"0.6706";"0.6075";"0.5441";"0.6484";"0.8003";"0.8509";"1.5517";"0.7121";"0.695";"0.6252";"0.5578";"0.5441";"0.6484";"0.5202";"0.8337";"0.534";"0.532"
"j-448218";"Z_4";"20";"sum";"TRUE";"10";"0.5";"0.1";"2";"1.4585";"1.6285";"1.682";"1.6328";"1.9096";"1.5634";"1.9863";"1.4045";"1.9091";"1.8171";"1.6756";"1.8862";"1.6917";"1.6264";"1.9122";"1.8962";"1.6207";"1.8613";"1.868";"1.6925";"1.9679";"1.9462";"1.6013";"1.8575";"1.6402";"1.7245";"1.5391";"1.9107";"1.5942";"1.6295";"1.52"
"w-262248";"Z_3";"100";"product";"FALSE";"10";"2";"0";"1";"0.294";"0.0351";"0.0125";"0.1276";"9e-04";"0.2039";"0.418";"0.1953";"0.7086";"0.0128";"0.1393";"6e-04";"0.1981";"0.0172";"0.0052";"0.0614";"0.1132";"0.1515";"0.2643";"0.3255";"0.859";"0.2786";"0.0176";"0.0026";"0.3367";"0.174";"0.0655";"0.0993";"0.385";"0.331";"0.2055"
"u-114330";"Z_6";"2";"sum";"FALSE";"2";"0.2";"0.5";"4";"0.3741";"0.4961";"0.3678";"0.4182";"0.4148";"0.4674";"0.3317";"0.4518";"0.3765";"0.4616";"0.5174";"0.4951";"0.3583";"0.3759";"0.4231";"0.4288";"0.4892";"0.4679";"0.3286";"0.3369";"0.3885";"0.4643";"0.4609";"0.5164";"0.3662";"0.4327";"0.4275";"0.4896";"0.3341";"0.4633";"0.4313"
"z-682133";"Z_4";"10";"sum";"TRUE";"50";"5";"2";"3";"0";"0";"0.0747";"0";"0.3144";"0";"0.0559";"0";"0.5378";"0.0587";"0";"0.3";"0.1508";"0.2245";"0.2476";"0.058";"0";"0.4523";"0.1539";"0.2476";"0.3451";"0.1475";"0.1837";"0.2245";"0.1932";"0.1497";"0.2476";"0.3144";"0.2245";"0.1658";"0.2476"
"p-520822";"Z_5";"2";"product";"TRUE";"5";"0";"0";"3";"0.3131";"0.317";"0.6705";"0.3226";"0.1438";"0.3231";"0.6426";"0.3169";"0.1446";"1.1137";"0.3379";"0.0887";"0.6407";"0.3513";"0.1575";"1.1105";"0.3435";"0.1067";"0.6236";"0.2458";"0.1591";"1.1291";"0.6819";"0.1628";"0.4397";"1.1256";"0.671";"0.1742";"0.3964";"0.6519";"0.4191"
"x-173663";"Z_6";"10";"product";"TRUE";"20";"5";"2";"2";"0.4681";"1.193";"0.1853";"0";"0.0057";"0.4543";"0.2009";"0.3139";"0.8517";"0.3229";"0.7033";"1.2501";"0.689";"0.0427";"0.1958";"0.1182";"0.1898";"0.8541";"0.4004";"0.0991";"0.5488";"0.6785";"0.0409";"0.2139";"0.0366";"0.4095";"0.0961";"0.31";"0.0507";"0.0377";"0.0516"
"q-622518";"Z_6";"10";"product";"TRUE";"20";"0.2";"0.5";"1";"1.1637";"0.9306";"0.8588";"0.5681";"0.5892";"0.9138";"1.1097";"0.5067";"0.5121";"1.357";"0.8558";"0.1086";"0.175";"0.9661";"1.4424";"0.7929";"0.646";"0.4229";"0.0779";"1.1394";"1.4405";"0.1979";"1.1489";"1.8698";"0.8762";"0.0632";"1.3133";"1.6753";"0.3714";"0.9858";"0.5274"
"k-788245";"Z_6";"10";"product";"FALSE";"50";"0.5";"1";"3";"0.0748";"0.0986";"0.0781";"0.0261";"0.2007";"0.0562";"0.1117";"0.0399";"0.3174";"0.1804";"0.0438";"0.2115";"0.0098";"0.3174";"0.7048";"0.1452";"0.0308";"0.4037";"0.0105";"0.2666";"0.8169";"0.0261";"0.1804";"1.0818";"0.6568";"0.0287";"0.0869";"0.6661";"0.6568";"1.3074";"1.3954"
"u-115458";"Z_6";"10";"sum";"FALSE";"3";"0.2";"5";"2";"0";"0";"0.2852";"0";"0";"0";"0.1982";"0";"0";"0.2216";"0";"0";"0.3571";"0.4908";"0";"0.2135";"0";"0";"0.2859";"0.4857";"0";"0.3387";"0.472";"0";"0.2327";"0.2489";"0.3813";"0";"0.2369";"0.2526";"0.1898"
"x-560423";"Z_6";"20";"product";"TRUE";"20";"0";"0.5";"4";"0.3154";"0.3404";"0.4534";"0.5173";"1.4722";"0.3413";"0.4645";"0.4883";"1.1128";"0.4593";"0.5323";"1.5272";"0.5173";"1.5547";"1.5388";"0.4645";"0.4606";"1.1763";"0.5026";"1.1587";"1.643";"0.5323";"1.5857";"1.573";"1.5388";"0.4606";"1.2057";"1.5277";"1.573";"1.643";"1.5329"
"v-244700";"Z_5";"3";"product";"FALSE";"10";"0.2";"10";"2";"0.3759";"0.4271";"0.4061";"0.3234";"0.1958";"0.4023";"0.3738";"0.3197";"0.1623";"0.4269";"0.3226";"0.1577";"0.3005";"0.1592";"0.1216";"0.3969";"0.3239";"0.1534";"0.2895";"0.1336";"0.1089";"0.2658";"0.1211";"0.0857";"0.1273";"0.2646";"0.1164";"0.0875";"0.1166";"0.0971";"0.0964"
"k-276316";"Z_3";"5";"product";"FALSE";"5";"0.2";"2";"4";"0.767";"0.5863";"0.662";"0.7233";"0.5882";"0.6368";"0.8112";"0.9287";"0.8528";"0.5976";"0.6666";"0.5467";"0.7212";"0.5948";"0.6146";"0.7149";"0.8212";"0.6444";"0.9845";"0.9293";"0.9465";"0.6711";"0.5754";"0.5841";"0.6199";"0.9127";"0.7551";"0.7558";"1.024";"0.6076";"0.8697"
"c-760863";"Z_3";"5";"product";"TRUE";"3";"1";"1";"2";"0.377";"0.3149";"0.1798";"0.5032";"0.948";"0.0928";"0.072";"0.3574";"0.4879";"0.1761";"0.9476";"0.8294";"0.1458";"1.3867";"0.2847";"0.0859";"0.0568";"1.1273";"0.1021";"0.9573";"0.5485";"0.1836";"1.692";"0.2104";"0.5621";"0.0234";"1.6669";"0.2585";"0.7254";"0.5394";"0.6655"
"y-640094";"Z_1";"5";"product";"FALSE";"10";"0.2";"5";"1";"0.0598";"0.0812";"0.0676";"0.1204";"0.1478";"0.0252";"0.0077";"0.0433";"0.0147";"0.068";"0.0812";"0.0454";"0.0666";"0.1586";"0.1463";"0.005";"0.0164";"0.0029";"0.0073";"0.0019";"0.0135";"0.0336";"0.1649";"0.0458";"0.1526";"0.0061";"0.0012";"0.0066";"0.0343";"0.402";"0.0042"
"p-930090";"Z_3";"100";"sum";"TRUE";"5";"0.2";"0.1";"3";"1.1467";"0.7843";"1.6304";"1.9408";"1.6751";"1.684";"1.5074";"1.3928";"1.9259";"1.1838";"0.5914";"1.3252";"1.4029";"1.7336";"1.7367";"0.8155";"1.3116";"1.6714";"1.7021";"1.4123";"1.3826";"0.7085";"1.7636";"1.5558";"1.3475";"0.4775";"1.3546";"0.7666";"0.8969";"1.3242";"0.4035"
"u-233715";"Z_4";"5";"sum";"TRUE";"50";"0.2";"5";"4";"0.3778";"1.0122";"1.038";"0.8007";"0.9761";"0.6431";"0.4747";"0.3077";"1.038";"1.0912";"1.0777";"0.8761";"1.059";"0.9947";"1.2341";"0.6431";"0.4337";"1.5384";"0.5263";"1.1186";"1.0912";"1.123";"0.8806";"1.0903";"0.8979";"0.8557";"1.5734";"1.8531";"1.038";"0.7642";"1.6449"
"v-415359";"Z_6";"2";"sum";"FALSE";"10";"0.2";"0.2";"3";"0.3246";"0.0145";"0.4964";"0.0883";"0.019";"0.8968";"1.2779";"0.37";"0.084";"0.5984";"0.8514";"0.4805";"0.4805";"1.4045";"0.7108";"1.9588";"0.2579";"0.3809";"0.7172";"1.4651";"1.1765";"0.412";"1.5383";"1.683";"0.4489";"0.7956";"1.4915";"1.6424";"0.3372";"0.1307";"0.1022"
"o-143906";"Z_5";"2";"sum";"TRUE";"3";"0.1";"5";"4";"0.397";"0.2869";"0.397";"0.1139";"0.4354";"0.3599";"0.2432";"0.4483";"0.7679";"0.3658";"0.1027";"0.4263";"0.3358";"0.397";"0.2331";"0.1927";"0.4165";"0.7879";"0.2138";"0.6711";"0.6732";"0.3433";"0.3481";"0.2121";"0.2869";"0.5079";"0.5871";"0.6645";"0.313";"0.3509";"0.349"
"x-854807";"Z_3";"100";"product";"TRUE";"10";"2";"2";"3";"0.0132";"0.4115";"0.5424";"0.1717";"0.0021";"1.1662";"1.7455";"0.0517";"3e-04";"0.1774";"0.1717";"1.6749";"0.717";"0.7123";"0.0982";"1.1682";"0.9981";"1.1525";"1.1835";"0.0896";"0.0181";"0.6539";"1.8134";"1.8808";"0.6018";"1.9891";"1.1769";"1.2913";"0.1124";"1.9008";"1.1069"
"z-563534";"Z_3";"50";"sum";"TRUE";"10";"1";"0.1";"3";"1.0211";"1.1769";"0.4456";"0.6053";"0.8291";"0.8554";"0.6133";"0.2802";"0.359";"0.2534";"0.6579";"0.9132";"0.5223";"0.2401";"0.9505";"1.3504";"0.5011";"0.9948";"0.9412";"0.0754";"0.3147";"0.3196";"0.3783";"0.6859";"0.4474";"1.4532";"0.6542";"0.2128";"0.3258";"0.3578";"0.5442"
"e-846816";"Z_3";"20";"sum";"TRUE";"5";"0";"0";"1";"0.1969";"0.3781";"0.099";"0.264";"0.024";"1.136";"0.0878";"0.2596";"0.0209";"0.0386";"0.4035";"0.0079";"0.1205";"0.0501";"0.014";"0.1159";"1.2139";"0.0246";"0.1277";"0.0219";"0.0115";"0.0594";"0.0092";"0.005";"0.015";"0.1182";"0.0545";"0.0157";"0.0109";"0.006";"0.0199"
"j-433371";"Z_2";"100";"product";"TRUE";"20";"10";"5";"1";"1.4479";"0.2141";"0.4358";"2e-04";"0.4539";"0.0431";"0.1499";"1.1998";"0.1397";"0.2122";"0.2293";"0.1646";"0.36";"0.4493";"0.4108";"0.0449";"0.0413";"0.0424";"0.1104";"0.1593";"0.0856";"0.2064";"0.1798";"0.1842";"0.4409";"0.0416";"0.0479";"0.0411";"0.098";"0.1753";"0.0386"
"m-750853";"Z_6";"5";"product";"TRUE";"100";"0.2";"5";"4";"0.6242";"0.3453";"0.3514";"0.1158";"0.2416";"0.9065";"0.3764";"0.2244";"0.2794";"0.5245";"0.1444";"0.1256";"0.1256";"0.2162";"0.1307";"0.5161";"0.3055";"0.3277";"0.2744";"0.2461";"0.2552";"0.1473";"0.136";"0.1894";"0.1307";"0.3001";"0.3335";"0.4167";"0.3055";"0.1968";"0.4029"
"o-438951";"Z_6";"3";"product";"FALSE";"10";"0.1";"2";"1";"0.144";"0.7828";"0.6152";"0.4772";"0.3563";"0.1747";"0.5347";"0.4562";"0.2988";"0.484";"0.4991";"0.3137";"1.4857";"3e-04";"0.398";"0.4132";"0.4493";"0.2215";"1.3378";"4e-04";"0.4208";"1.52";"2e-04";"0.3974";"0.3569";"1.1293";"3e-04";"0.4132";"0.3043";"0.4105";"0.3404"
"h-781807";"Z_1";"5";"product";"TRUE";"50";"5";"5";"2";"0.9533";"0.7304";"0.7366";"0.6648";"0.6926";"0.997";"0.9884";"0.8459";"0.9356";"0.6222";"0.4896";"0.5188";"0.7719";"0.8062";"0.6741";"0.9342";"0.7381";"0.8249";"0.9676";"1.0149";"0.7778";"0.4883";"0.441";"0.6759";"0.6949";"0.7588";"0.7915";"0.8479";"0.9073";"0.4427";"0.7762"
"p-301679";"Z_1";"3";"sum";"FALSE";"2";"0.2";"0.1";"2";"0.4699";"0.2941";"0.3015";"0.2966";"0.4061";"0.1389";"0.3559";"0.4654";"0.5332";"0.2928";"0.2888";"0.3851";"0.3019";"0.4092";"0.3767";"0.2779";"0.1404";"0.1995";"0.3559";"0.3317";"0.5332";"0.2938";"0.3861";"0.3323";"0.3781";"0.2752";"0.3145";"0.1908";"0.3642";"0.3338";"0.1774"
"r-197578";"Z_4";"100";"sum";"FALSE";"100";"0.1";"0.2";"2";"0.1992";"0.176";"0.2534";"0.1992";"0.1456";"0.1873";"0.2388";"0.1992";"0.1456";"0.2117";"0.176";"0.1552";"0.2388";"0.1653";"0.1366";"0.1992";"0.176";"0.1456";"0.2534";"0.1552";"0.1366";"0.2117";"0.1653";"0.1366";"0.1456";"0.2249";"0.1653";"0.1456";"0.1552";"0.1456";"0.1552"
"r-928227";"Z_3";"3";"sum";"TRUE";"3";"5";"0.2";"3";"0.1463";"6e-04";"0.0059";"0.0093";"1.4633";"0.1411";"0.1009";"0.1686";"1.9798";"4e-04";"5e-04";"0.344";"0.0051";"0.7486";"1.5384";"0.0302";"0.1071";"1.504";"0.1261";"1.8505";"1.7601";"1e-04";"0.1009";"0.1709";"1.1605";"0.011";"0.8785";"1.0122";"1.7391";"0.1356";"0.867"
"v-762591";"Z_3";"50";"sum";"FALSE";"2";"2";"0";"4";"1.5927";"1.6278";"1.5647";"1.8071";"1.5155";"1.6338";"1.572";"1.8199";"1.5208";"1.6076";"1.8055";"1.5439";"1.8078";"1.4913";"1.7448";"1.6165";"1.8186";"1.551";"1.82";"1.4986";"1.7593";"1.8059";"1.5239";"1.736";"1.7451";"1.8186";"1.534";"1.7509";"1.7591";"1.7361";"1.7506"
"m-402644";"Z_4";"20";"sum";"FALSE";"2";"0.2";"10";"2";"0";"0";"0.1561";"0";"1e-04";"0";"0.1037";"0";"2e-04";"0.1198";"0";"1e-04";"0.6061";"0.1563";"1e-04";"0.0938";"0";"3e-04";"0.2624";"0.0607";"3e-04";"0.501";"0.1255";"1e-04";"0.491";"0.2205";"0.039";"3e-04";"0.2759";"0.3155";"0.2077"
"e-838078";"Z_6";"3";"product";"TRUE";"50";"0.5";"0.5";"4";"0.1688";"0.1473";"0.0166";"0.1586";"0.1624";"0.1475";"0.0132";"0.1321";"0.1593";"0.0197";"0.0939";"0.1182";"0.0202";"0.0105";"0.137";"0.0174";"0.1116";"0.1989";"0.0103";"0.0081";"0.1964";"0.0239";"0.015";"0.0921";"0.0197";"0.0081";"0.0108";"0.1226";"0.0123";"0.0232";"0.0077"
"b-491691";"Z_1";"3";"sum";"FALSE";"10";"0.5";"5";"2";"1.0606";"1.1666";"1.476";"1.2829";"1.1861";"0.9612";"1.0207";"1.0388";"0.9368";"1.2048";"1.1059";"1.1514";"1.4732";"1.3992";"1.1827";"1.0179";"0.9039";"0.9518";"1.0048";"0.8988";"0.9114";"1.1529";"1.1931";"1.1021";"1.3946";"1.017";"1.0114";"0.9005";"0.881";"1.1538";"1.0168"
"p-217195";"Z_1";"2";"product";"FALSE";"50";"0.5";"0.5";"4";"0.3263";"0.5781";"0.516";"0.4937";"0.3061";"0.5781";"0.4793";"0.5781";"0.3161";"0.5781";"0.5781";"0.5781";"0.5781";"0.4793";"0.4864";"0.5781";"0.5781";"0.5781";"0.5781";"0.501";"0.4793";"0.5781";"0.5781";"0.5781";"0.5781";"0.5781";"0.5781";"0.5781";"0.5781";"0.5781";"0.5781"
"m-980244";"Z_4";"10";"product";"FALSE";"10";"1";"5";"4";"0.2201";"0.1123";"0.0711";"0.1209";"0.4368";"1.7501";"0.2315";"0.2778";"0.4332";"0.1529";"0.1641";"0.5892";"0.1612";"0.4451";"0.6233";"1.0149";"1.9293";"0.7905";"0.2644";"0.4439";"0.6129";"0.2226";"0.7302";"0.5473";"0.7002";"1.161";"0.8833";"0.9079";"0.6945";"0.6902";"1.0182"
"v-464136";"Z_6";"50";"product";"TRUE";"100";"0.5";"1";"4";"0.4442";"0.29";"0.2849";"0.1733";"0.5306";"0.4442";"0.4158";"0.3166";"0.8858";"0.2749";"0.1574";"0.4442";"0.1668";"0.4665";"0.1428";"0.4227";"0.2951";"0.8985";"0.3393";"0.8244";"0.2559";"0.1514";"0.1942";"0.1373";"0.1219";"0.2606";"0.6991";"0.238";"0.5924";"0.1102";"0.2295"
"p-141386";"Z_1";"5";"sum";"FALSE";"100";"1";"10";"4";"0.1409";"0.0799";"0.1726";"0.1255";"0.1341";"0.0725";"0.1724";"0.1338";"0.1335";"0.0988";"0.0781";"0.0726";"0.1198";"0.1779";"0.1247";"0.0968";"0.0776";"0.0631";"0.1964";"0.1787";"0.1271";"0.0791";"0.1006";"0.0676";"0.1294";"0.1536";"0.0999";"0.2031";"0.2142";"0.0822";"0.1647"
"t-669540";"Z_5";"5";"sum";"FALSE";"2";"1";"0.5";"1";"0.8672";"0.7527";"1.0849";"0.7547";"0.7458";"0.8107";"1.1157";"0.8205";"0.7516";"1.197";"0.6601";"0.647";"0.7639";"1.0202";"0.7072";"0.907";"0.5204";"0.5963";"0.7057";"0.9875";"0.7526";"0.7837";"1.0853";"0.6322";"0.7526";"0.6221";"0.8492";"0.5049";"0.7485";"0.8225";"0.6154"
"k-977899";"Z_2";"20";"product";"FALSE";"20";"2";"1";"1";"1.0475";"0";"0";"0";"1e-04";"0.0333";"0.0461";"0.8189";"0.0984";"0";"0";"1e-04";"0";"0";"1e-04";"0.0451";"0.1583";"0.0763";"0.1001";"0.0644";"0.0587";"1e-04";"0";"1e-04";"0";"0.2669";"0.054";"0.2256";"0.0979";"1e-04";"0.2693"
